#
# StationInfo
#
# $Id:$
#
# IMPORTANT NOTE: Adding a column means that you'll have to change the
# createPICtree script as well. That script has the number of columns
# hardcoded in the code at two places!!!! If not adapted, no PIC tree
# can be (re)created anymore!!
#
# ID: Unique station identifier (used for PVSS, SAS, etc)
# ring: Location C=Core, R=Remote, E=European
# Long, lat and height are in WGS84 and are for initial position guess 
#   in the file /etc/ntp.core.0 (for GPS). Units (deg, deg, m)
# nrRSP, nrTBB, nrLBA, nrHBA are for RemoteStation.conf
# HBAsplit indicates split HBA field (core stations only)
# LBAcal
#
# name  ID    ring long         lat             height  nrRSP nrTBB nrLBA nrHBA nrPowec HBAsplit LBAcal Aartfaac
#---------------------------------------------------------------------------------------------------------------
## core (1-59)
CS001   1     C    6.8680483    52.9110414      54.43   12     6    96    48    1       Yes      Yes    Yes
CS002	2     C    6.8693028    52.9148472      55.90   12     6    96    48    1       Yes      Yes    Yes
CS003	3     C    6.8693283    52.9159339      55.19   12     6    96    48    1       Yes      Yes    Yes
CS004	4     C    6.8680911    52.9147486      55.94   12     6    96    48    1       Yes      Yes    Yes
CS005	5     C    6.8696561    52.9141017      57.58   12     6    96    48    1       Yes      Yes    Yes
CS006	6     C    6.87108883   52.9144497      57.78   12     6    96    48    1       Yes      Yes    Yes 
CS007	7     C    6.8715772    52.9157881      56.56   12     6    96    48    1       Yes      Yes    Yes
CS011	11    C    6.8737881    52.9141903      53.68   12     6    96    48    1       Yes      Yes    Yes
CS013	13    C    6.8672969    52.9177144      54.98   12     6    96    48    1       Yes      Yes    Yes
CS017	17    C    6.8778067    52.9158697      59.23   12     6    96    48    1       Yes      Yes    Yes
CS021	21    C    6.8622447    52.9176275      52.73   12     6    96    48    1       Yes      Yes    Yes
CS024	24    C    6.8738103    52.9080003      55.80   12     6    96    48    1       Yes      Yes    No
CS026	26    C    6.8821933    52.9163728      55.42   12     6    96    48    1       Yes      Yes    No
CS028	28    C    6.8755528    52.9254167      52.66   12     6    96    48    1       Yes      Yes    No
